,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
56649,0,ADULT,9,0,45 to 54 years,X,Main Library,February,2016.0,a,print,False,2015,True,
102246,0,ADULT,230,245,25 to 34 years,R3,Richmond,July,2016.0,z,email,True,2010,True,9.0
4245,3,SENIOR,3,0,65 to 74 years,M4,Merced,August,2015.0,z,email,True,2012,True,
111177,3,SENIOR,63,2,65 to 74 years,X,Main Library,June,2016.0,z,email,True,2011,True,
349470,2,YOUNG ADULT,0,0,10 to 19 years,X,Main Library,February,2015.0,z,email,True,2014,True,
301927,0,ADULT,7,8,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,True,
97500,0,ADULT,2,0,20 to 24 years,M4,Merced,May,2015.0,z,email,True,2015,True,
359679,0,ADULT,39,7,60 to 64 years,M8,Mission Bay,February,2016.0,z,email,True,2003,True,
153214,0,ADULT,5,0,20 to 24 years,M8,Mission Bay,December,2015.0,z,email,True,2014,True,6.0
206665,0,ADULT,2,3,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2016,True,
110737,0,ADULT,15,3,65 to 74 years,X,Main Library,June,2016.0,z,email,True,2016,True,
78442,4,WELCOME,2,1,45 to 54 years,X,Main Library,December,2015.0,z,email,True,2014,True,
55953,3,SENIOR,95,12,65 to 74 years,W2,West Portal,February,2016.0,z,email,True,2012,True,
82182,0,ADULT,65,1,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2015,True,
94412,0,ADULT,47,97,35 to 44 years,X,Main Library,February,2016.0,p,phone,True,2006,True,
5379,3,SENIOR,82,9,65 to 74 years,W4,Western Addition,December,2015.0,z,email,True,2009,True,
301187,0,ADULT,46,40,25 to 34 years,S7,Sunset,June,2016.0,z,email,True,2013,True,
74633,0,ADULT,7,2,25 to 34 years,X,Main Library,February,2016.0,z,email,True,2012,True,
142243,0,ADULT,18,10,20 to 24 years,X,Main Library,January,2016.0,z,email,True,2008,True,
181027,0,ADULT,38,34,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2016,True,
8422,0,ADULT,3,0,35 to 44 years,S7,Sunset,March,2015.0,z,email,True,2015,True,
232692,0,ADULT,11,5,35 to 44 years,M4,Merced,May,2016.0,z,email,True,2012,True,
83955,0,ADULT,1,0,55 to 59 years,X,Main Library,January,2016.0,z,email,True,2015,True,
409601,0,ADULT,23,8,45 to 54 years,M2,Marina,February,2015.0,z,email,True,2013,True,
219118,0,ADULT,207,10,45 to 54 years,G4,Glen Park,January,2016.0,z,email,True,2003,True,
179686,0,ADULT,15,36,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2008,True,
171084,0,ADULT,2,0,55 to 59 years,R3,Richmond,June,2016.0,z,email,True,2016,True,
416376,1,JUVENILE,188,27,10 to 19 years,R3,Richmond,July,2016.0,z,email,True,2009,True,
48062,0,ADULT,28,10,45 to 54 years,I5,Ingleside,April,2016.0,z,email,True,2004,True,
27101,0,ADULT,105,42,25 to 34 years,X,Main Library,July,2015.0,z,email,True,2009,True,
25769,0,ADULT,5,1,35 to 44 years,M4,Merced,January,2016.0,z,email,True,2011,True,
203325,0,ADULT,12,3,45 to 54 years,M8,Mission Bay,January,2016.0,z,email,True,2015,True,
63974,0,ADULT,28,61,45 to 54 years,X,Main Library,March,2015.0,z,email,True,2007,True,
200641,0,ADULT,3,6,35 to 44 years,X,Main Library,May,2016.0,p,phone,True,2016,True,
58000,0,ADULT,16,3,55 to 59 years,W2,West Portal,August,2015.0,z,email,True,2003,True,
182000,0,ADULT,124,109,25 to 34 years,X,Main Library,July,2016.0,p,phone,True,2009,True,
137760,0,ADULT,175,253,45 to 54 years,I5,Ingleside,November,2015.0,z,email,True,2009,True,
14231,0,ADULT,0,0,25 to 34 years,X,Main Library,June,2016.0,z,email,True,2016,True,
271605,0,ADULT,26,2,25 to 34 years,X,Main Library,December,2015.0,z,email,True,2015,True,
230922,0,ADULT,13,0,60 to 64 years,R3,Richmond,June,2015.0,z,email,True,2011,True,
126787,0,ADULT,0,0,25 to 34 years,M8,Mission Bay,January,2015.0,z,email,True,2014,True,
145943,0,ADULT,22,0,35 to 44 years,X,Main Library,September,2015.0,p,phone,False,2010,True,
159282,0,ADULT,4,4,20 to 24 years,S7,Sunset,May,2016.0,z,email,True,2015,True,
137338,0,ADULT,11,0,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2010,True,
59277,0,ADULT,4,1,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2016,True,
326670,1,JUVENILE,223,30,10 to 19 years,S7,Sunset,July,2016.0,z,email,True,2010,True,
96569,0,ADULT,170,69,35 to 44 years,M6,Mission,May,2016.0,z,email,True,2003,True,
60389,0,ADULT,1,0,35 to 44 years,S7,Sunset,January,2016.0,z,email,True,2014,True,
54085,0,ADULT,2,0,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2012,True,
24782,0,ADULT,31,42,45 to 54 years,W4,Western Addition,July,2015.0,z,email,True,2008,True,
