type,country,species,injury,date,sex,fatal
Unprovoked,NEW ZEALAND,White shark,"no injury, shark leapt on surfboard",15-Mar-2022,M,False
Unprovoked,AUSTRALIA,Bull shark,lacerations and punctures to leg and foot,15-Mar-2022,M,False
Unprovoked,USA,White shark,bite to right foot,13-Mar-2022,M,False
Provoked,USA,"Blacktip shark, 5' to 6'",minor injuries to knee and calf of left leg                            provoked incident,09-Mar-2022,M,False
Unprovoked,AUSTRALIA,White shark,"no injury, board bitten",08-Mar-2022,M,False
Unprovoked,USA,White shark,fatal,26-Feb-2022,M,True
?,BAHAMAS,White shark,arm bitten,21-Feb-2022,M,False
Unprovoked,AUSTRALIA,"Tiger shark, 3 m",lacerations to left thigh,17-Feb-2022,M,False
Unprovoked,AUSTRALIA,White shark,fatal,16-Feb-2022,M,True
Unprovoked,MEXICO,3m shark,fatal,12-Feb-2022,M,True
Unprovoked,USA,White shark,puncture wounds to foot,11-Feb-2022,M,False
Provoked,BAHAMAS,Nurse shark,minor injury,Reported 10-Feb-2022,F,False
Unprovoked,AUSTRALIA,White shark,torso bitten,05-Feb-2022,F,False
Unprovoked,AUSTRALIA,Wobbegong shark,foot bitten,24-Jan-2022,M,False
Unprovoked,AUSTRALIA,Wobbegong shark,"knees, ankles & feet bitten",22-Jan-2022,M,False
Provoked,SOUTH AFRICA,White shark,"provoked incident               no injury to occupants, shark bit ski",09-Jan-2022,M,False
Unprovoked,NEW ZEALAND,Sevengill shark,puncture wounds,09-Jan-2022,F,False
Unprovoked,USA,Blacktip or spinner shark,punctures to leg,06-Jan-2022,F,False
Unprovoked,AUSTRALIA,White shark,minor lacerations to lower thigh,04-Jan-2022,F,False
Unprovoked,AUSTRALIA,White shark,"no injury, knocked off board",01-Jan-2022,M,False
Unprovoked,New Zealand,White shark,laceration to big toe,25-Dec-2021,F,False
Unprovoked,USA,Great White Shark,fatal bite to chest,24-Dec-2021,M,True
Unprovoked,USA,Blacktip or spinner shark,punctures to leg,22-Dec-2021,F,False
Unprovoked,AUSTRALIA,Bull shark,laceration to leg,11-Dec-2021`,M,False
Unprovoked,MEXICO,White shark,lacerations,Reported 06-Dec-2021,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to right calf and hand,06-Dec-2021,F,False
Unprovoked,AUSTRALIA,White shark,lacerations to back,06-Dec-2021,M,False
Unprovoked,USA,Blacktip reef shark,arm bitten,04-Dec-2021,M,False
Unprovoked,BRAZIL,dogfish,minor cuts to left thigh,15-Nov-2021,M,False
Unprovoked,USA,White shark,leg bitten,07-Nov-2021,F,False
Unprovoked,AUSTRALIA,White shark,fatal,06-Nov-2021,M,True
Unprovoked,BRAZIL,White shark,laceration to lower right leg,03-Nov-2021,M,False
Unprovoked,NEW ZEALAND,Broadnose seven gill shark,fingers lacerated,02-Nov-2021,M,False
Unprovoked,AUSTRALIA,White shark,lacerations and puncture to left leg,15-Oct-2021,M,False
Unprovoked,USA,White shark,`left foot bitten,04-Oct-2021,M,False
Unprovoked,USA,White shark,injury to lower left leg,03-Oct-2021,M,False
Unprovoked,USA,White shark,injury to posterior left thigh,03-Oct-2021,M,False
Unprovoked,USA,White shark,minor injury to right arm,09-Sep-2021,M,False
Unprovoked,AUSTRALIA,White xhark,fatal,05-Sep-2021,M,True
Unprovoked,British Overseas Territory,White shark,wrist bitten,03-Sep-2021,M,False
Unprovoked,USA,White shark,severe injury to leg,03-Sep-2021,M,False
Unprovoked,USA,White shark,lacerations both sides of lower leg immediately above the ankle,28-Aug-2021,M,False
Unprovoked,USA,Bull shark,left ankle and foot bitten,21-Aug-2021,M,False
Unprovoked,CANADA,White shark,thigh injured,13-Aug-2021,F,False
Provoked,AUSTRALIA,White shark,"no injury, jet ski bitten provoked incident",07-Aug-2021,M,False
Unprovoked,USA,White shark,minor cuts to right foot and ankle,07-Aug-2021,M,False
Unprovoked,USA,White shark,lacerations to legs,07-Aug-2021,M,False
Unprovoked,USA,Blacktip shark,lacerations to lower body,03-Aug-2021,M,False
Unprovoked,USA,Blacktip shark,lacerations and puncture wounds to lower left leg,02-Aug-2021,F,False
Provoked,USA,White shark,hands bitten while attempting to unhook shark               provoked incident,30-Jul-2021,M,False
Unprovoked,USA,White shark,lower left leg bitten,27-Jul-2021,M,False
Unprovoked,USA,small blacktip shark,lower left leg bitten,27-Jul-2021,M,False
Provoked,AUSTRALIA,"Sickelfin lemon shark, 3m",leg bitten when he jumped on the sharkprovoked incident,27-Jul-2021,M,False
Unprovoked,USA,A small shark,minor injury to calf,26-Jul-2021,M,False
Unprovoked,BRAZIL,White shark,lacerations to poster thigh and buttock,25-Jul-2021,M,False
Provoked,THAILAND,"Bull shark, +100kg",lacerations to lower right leg provoked incident,23-Jul-2021,M,False
Unprovoked,USA,White shark,no injury,21-Jul-2021,F,False
Unprovoked,AUSTRALIA,"White shark, 3m","no injury, knocked off board by shark",19-Jul-2021,M,False
Unprovoked,USA,White shark,leg bitten,15-Jul-2021,M,False
Unprovoked,SOUTH AFRICA,White shark,injuries to leg and torso,14-Jul-2021,M,False
Provoked,BAHAMAS,White shark,lacerations to right hand  provoked incident,Reported 11-Jul-2021,M,False
Unprovoked,USA," Spinner shark, 4'?",right foot bitten,10-Jul-2021,F,False
Unprovoked,USA,White shark,shark involvement prior to death not confirmed,10-Jul-2021,M,False
Unprovoked,BRAZIL,White shark,fatal,10-Jul-2021,M,True
Unprovoked,AUSTRALIA,"White shark, 3m",left forearm broken & lacerated,05-Jul-2021,M,False
Unprovoked,USA,2' to 3' shark,puncture wound to calf,04-Jul-2021,M,False
Provoked,USA,Said to involve a bull shark,provoked incident lacerations to right hand,04-Jul-2021,F,False
Unprovoked,ECUADOR,Galapagos shark,single bite to right thigh,03-Jul-2021,M,False
Unprovoked,USA,White shark,hand injured,30-Jun-2021,M,False
Unprovoked,USA,White shark,lacerations to thigh and calf,28-Jun-2021,F,False
Unprovoked,USA,White shark,calf bitten,27-Jun-2021,F,False
Unprovoked,USA,"White shark, 6' to 8'",posterior right thigh bitten,26-Jun-2021,M,False
Unprovoked,JORDAN,White shark,foot bitten,25-Jun-2021,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to calf and ankle,23-Jun-2021,M,False
Unprovoked,USA,White shark,left arm bitten,18-Jun-2021,M,False
Unprovoked,USA,7' to 8' shark ,"""superficial injuries:",17-Jun-2021,M,False
Unprovoked,USA,White shark,right calf bitten,14-Jun-2021,M,False
Unprovoked,USA,White shark,minor injury to right foot,14-Jun-2021,M,False
Provoked,ENGLAND,"Tope shark, 6'",calf bitten by hooked shark provoked incident,12-Jun-2021,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 2 m",foot bitten,11-Jun-2021,M,False
Provoked,NEW CALEDONIA,White shark,presumed fatal  provoked incident,25-May-2021,M,True
Unprovoked,USA,5' shark,minor injuries to foot and ankle,23-May-2021,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to right hand and forearm,21-May-2021,M,False
Unprovoked,AUSTRALIA,"White shark, 4.5 m",fatal,18-May-2021,M,True
Unprovoked,USA,5 to 8-ff tiger shark,2- to 3-inch cuts to posterior thigh,15-May-2021,M,False
Provoked,BELIZE,8 ft shark,right hand bitten,12-May-2021,M,False
Unprovoked,USA,White shark,nick on foot,06-May-2021,F,False
Unprovoked,USA,5.5 ft shark,lacerations to shin and calf,03-May-2021,M,False
Unprovoked,JAMAICA,White shark,fatal,01-May-2021,M,True
Unprovoked,USA,White shark,foot bitten,30-Apr-2021,F,False
Unprovoked,USA,White shark,right leg bitten,29-Apr-2021,M,False
Unprovoked,FRENCH POLYNESIA,White shark,"no injury, canoe bitten",24-Apr-2021,M,False
Unprovoked,NEW CALEDONIA,White shark,fatal,24-Apr-2021,M,True
Unprovoked,USA,Tiger shark,puncture wound to knee,20-Apr-2021,F,False
Unprovoked,AUSTRALIA,White shark,laceration to foot,19-Apr-2021,M,False
Unprovoked,SOUTH AFRICA,1.3m shark,minor injury to head,14-Apr-2021,M,False
Unprovoked,SOUTH AFRICA,White shark,fatal,13-Apr-2021,M,True
Unprovoked,USA,White shark,1-inch cut to leg,02-Apr-2021,M,False
Unprovoked,USA,White shark,cuts to both feet,30-Mar-2021,M,False
Unprovoked,AUSTRALIA,"Whaler or bull shark, 2m",injury to calf,27-Mar-2021,M,False
Unprovoked,USA,3' to 5' shark,"injuries to hands, arm and knees",25-Mar-2021,F,False
Unprovoked,USA,  ,lacerations to right hand,25-Mar-2021,M,False
Unprovoked,USA,White shark,left shoulder bitten,21-Mar-2021,M,False
Unprovoked,AUSTRALIA,"Blacktip whaler,      Carcharhinus tilstoni, 2m","no injury, board bitten",20-Mar-2021,M,False
Unprovoked,USA,"Blacktip shark, 6'",left forearm bitten,18-Mar-2021,M,False
Unprovoked,NEW CALEDONIA,Tiger shark,left leg bitten,02-Mar-2021,M,False
Unprovoked,NEW CALEDONIA,"Tiger shark, 4 m",right leg bitten but death due to heart attack,28-Feb-2021,M,False
Provoked,AUSTRALIA,"Bull shark, 80cm",superficial wound       provoked incident,20-Feb-2021,M,False
Unprovoked,USA,White shark,"no injury, surfboard bitten",06-Feb-2021,M,False
Watercraft,AUSTRALIA,Bronze whaler shark,"no injury, surf ski bitten",02-Feb-2021,M,False
Watercraft,USA,White shark,"no injury, kayak bitten",02-Feb-2021,M,False
Unprovoked,AUSTRALIA,White shark,puncture wounds to foot,29-Jan-2021,F,False
Unprovoked,NEW ZEALAND,Juvenile shark,minor puncture wound to arm,27-Jan-2021,M,False
Unprovoked,AUSTRALIA, ,severe lacerations to left arm,23-Jan-2021,M,False
Unprovoked,USA,"8"" shark",puncture wounds to left calf,22-Jan-2021,M,False
Unprovoked,AUSTRALIA,White shark,fatal,21-Jan-2021,M,True
Unprovoked,Australia,3m Bull shark,serious injury to left leg,14-Jan-2021,M ,False
Unprovoked,BRAZIL,White shark,puncture wounds to right hand,13-Jan-2021,M,False
Unprovoked,AUSTRALIA,"Bull shark, 6.5 to 10 '",severe injury to leg and broken him,13-Jan-2021,M,False
Unprovoked,AUSTRALIA,White shark,injury to leg,11-Jan-2021,M,False
Unprovoked,ST KITTS / NEVIS,White shark,"severe injury to left leg, resulting in amputation above the knee",09-Jan-2021,F,False
Unprovoked,NEW ZEALAND,White shark,fatal,07-Jan-2021,F,True
Unprovoked,USA,White shark,"no injury, board damaged",03-Jan-2021,M,False
Unprovoked,USA,White shark,1.5 cut to ankle,02-Jan-2021,M,False
Unprovoked,USA,White shark,significant injury to right lower leg,02-Jan-2021,F,False
Unprovoked,USA,White shark,no injury. swim fin bittten,30-Dec-2020,M,False
Unprovoked,MALDIVES,White shark,injuries to leg,23-Dec-2020,M,False
Unprovoked,ST MARTIN,Tiger shark,fatal,10-Dec-2020,F,True
Unprovoked,AUSTRALIA,White shark,"no injury, board bitten",09-Dec-2020,M,False
Unprovoked,USA,"Tiger shark. 14'3""",fatal,08-Dec-2020,M,True
Unprovoked,USA,White shark,non-life-threatening to left lower leg & foot,06-Dec-2020,M,False
Unprovoked,AUSTRALIA,White shark,non-life-threatening injuries to buttock and thigh,06-Dec-2020,M,False
Unprovoked,EGYPT,Oceanic whitetip shark,left shoulder bitten,02-Dec-2020,F,False
Unprovoked,USA,White shark,severe injury to torso,26-Nov-2020,F,False
Unprovoked,NEW CALEDONIA,"Tiger shark, 4m ",three 3-inch lacerations to thigh,23-Nov-2020,F,False
Unprovoked,AUSTRALIA,Bull shark,fatal,22-Nov-2020,M,True
Unprovoked,AUSTRALIA,White shark,"minor injury to left foot, leg and finger",02-Nov-2020,M,False
Unprovoked,USA,"Blacktip shark, 6' to 7'",minor injuries,31-Oct-2020,M,False
Unprovoked,BAHAMAS,"""Reef shark""",hand/wrist bitten,30-Oct-2020,M,False
Unprovoked,USA,White shark,hand bitten,29-Oct-2020,M,False
Unprovoked,AUSTRALIA,White shark,severe injury to thigh,24-Oct-2020,M,False
Unprovoked,AUSTRALIA,4m shark,fatal,09-Oct-2020,M,True
Unprovoked,USA,Blacktip shark,laceration to lower leg,07-Oct-2020,M,False
Unprovoked,AUSTRALIA,Bronze whaler 1.5m,"no injury, knocked off board when shark grabbed his leg rope",04-Oct-2020,M,False
Provoked,USA,Small nurse shark,minor lacerations to right foot when he stepped on the shark provoked incident,29-Sep-2020,M,False
Unprovoked,USA,Bull shark,severe bite to shoulder,20-Sep-2020,M,False
Provoked,AUSTRALIA,"""whitetip shark""",arm bitten by hooked shark provoked incident,17-Sep-2020,M,False
Unprovoked,AUSTRALIA,White shark,"no injury, board bitten",16-Sep-2020,M,False
Unprovoked,USA,White shark,cuts to right hand and wrist,15-Sep-2020,M,False
Unprovoked,USA,White shark,left arm bitten,15-Sep-2020,M,False
Unprovoked,AUSTRALIA,"White shark, 3m",fatal,07-Sep-2020,M,True
Unprovoked,USA,8' shark,ankle bitten,06-Sep-2020,F,False
Unprovoked,USA,"Nurse shark, juvenile",minor injury to forearm,02-Sep-2020,M,False
Unprovoked,USA,White shark,injury to right foot and ankle,30-Aug-2020,M,False
Unprovoked,USA,White shark,"no injury, kayak damaged",28-Aug-2020,M,False
Unprovoked,USA,White shark,minor injury to foot,23-Aug-2020,M,False
Unprovoked,USA,4' to 5' shark,lacerations to sole of left foot,22-Aug-2020,M,False
Unprovoked,USA,White shark,minor lacerations to left leg,20-Aug-2020,F,False
Unprovoked,AUSTRALIA,"White shark, 2-to 3m",lacerations to right calf and posterior thigh,14-Aug-2020,F,False
Provoked,USA,"Blacktip shark, 6'",injury to left forearm by hooked shark provoked incident,10-Aug-2020,M,False
Unprovoked,USA,"Nurse shark, 5'",lacerations to hand and wrist,02-Aug-2020,F,False
Unprovoked,USA,White shark,"no injury, but board bitten",01-Aug-2020,M,False
Unprovoked,USA,White shark,lacerations to foot,31-Jul-2020,F,False
Unprovoked,USA,Blacktip or Spinner shark,lacerations to foot and toes,31-Jul-2020,M,False
Unprovoked,AUSTRALIA,"White shark, 4m",lacerations to leg,31-Jul-2020,M,False
Unprovoked,USA,"Lemon shark, 8'",lower leg bitten,29-Jul-2020,M,False
Unprovoked,FRENCH POLYNESIA,"Blacktip reef shark, juvenile",leg bitten,27-Jul-2020,M,False
Unprovoked,USA,"White shark, 11'?",fatal,27-Jul-2020,F,True
Unprovoked,USA,"Reef shark, 5' to 6 '",lacerations to legs,23-Jul-2020,M,False
Unprovoked,USA,White shark,foot bitten,23-Jul-2020,M,False
Unprovoked,USA,Bull shark. 6.5',left calf & foot bitten,22-Jul-2020,M,False
Unprovoked,USA,White shark,right leg bitten,19-Jul-2020,F,False
Unprovoked,AUSTRALIA,White shark,"lacerations to arm, head & chest",17-Jul-2020,M,False
Unprovoked,USA,"Bull shark, 4' to 6'",severe bite to right foot,14-Jul-2020,F,False
Unprovoked,AUSTRALIA,2 m shark,injury to lower left leg and ankle,13-Jul-2020,F,False
Unprovoked,AUSTRALIA,"White shark, 2.5 m",fatal,11-Jul-2020,M,True
Unprovoked,USA,White shark,minor injury to right foot,10-Jul-202,F,False
Unprovoked,AUSTRALIA,White shark,fatal,04-Jul-2020,M,True
Unprovoked,USA,Juvenile bull shark?,cuts to lower leg,22-Jun-2020,M,False
Unprovoked,USA,White shark,injury to thigh,20-Jun-2020,M,False
Unprovoked,SOUTH AFRICA,White shark,"no inury, ski damaged",16-Jun-2020,F,False
Unprovoked,NEW CALEDONIA,Tiger shark,fatal,10-Jun-2020,M,True
Unprovoked,AUSTRALIA,"White shark, 3.5 m",fatal,07-Jun-2020,M,True
Unprovoked,USA,Tiger shark?,cut to index finger of hand,01-Jun-2020,M,False
Unprovoked,BAHAMAS,"Bull shark, 8'",lacerations to left hand,31-May-2020,M,False
Unprovoked,AUSTRALIA,Bull shark,"no injury, swim fin bitten",30-May-2020,M,False
Unprovoked,THAILAND,Bull shark,left foot bitten,28-May-2020,M,False
Unprovoked,SPAIN,Angel shark,lacerations to both feet,26 May 2020,M,False
Unprovoked,USA,White shark,fatal,09-May-2020,M,True
Unprovoked,AUSTRALIA,White shark,leg injured,08-May-2020,M,False
Unprovoked,USA,5' to 6' shark,2 lacerations to foot,01-May-2020,F,False
Unprovoked,AUSTRALIA,White shark,lacerations to foot,21-Apr-2020,F,False
Unprovoked,USA,"Bull shark, 6'",foot bitten,07-Apr-2020,F,False
Unprovoked,AUSTRALIA,White shark,fatal,06-Apr-2020,M,True
Unprovoked,AUSTRALIA,6' shark,right hand bitten,06-Apr-2020,M,False
Unprovoked,USA,White shark,"no injury, paddleboard bitten",27-Mar-2020,M,False
Unprovoked,USA,White shark,left foot bitten,22-Mar-2020,M,False
Unprovoked,USA,White shark,left foot bitten when he jumped on the shark  provoked incident,22-Mar-2020,M,False
Unprovoked,AUSTRALIA,White shark,arm injured,21-Mar-2020,F,False
Provoked,NEW ZEALAND,"White shark, 2.5 to 3 m","provoked incident no injury, shark nudged kayak repeatedly",Reported 14-Mar-2020,M,False
Unprovoked,FIJI,White shark,lacerations to right elbow,02-Mar-2020,M,False
Unprovoked,NEW ZEALAND,White shark,"minor injury, surfboard bitten",22-Feb-2020,M,False
Unprovoked,USA,Tiger shark,"no injury, but paddleboard bitten",05-Feb-2020,M,False
Unprovoked,FRENCH POLYNESIA,White shark,"no injury, but canoe was scratched",01-Feb-2010,M,False
Provoked,BAHAMAS,White shark,provoked incident  scratches to left wrist,Reported 30-Jan-2020,F,False
Unprovoked,AUSTRALIA,"""A small shark""",laceration ot left ankle and foot,17-Jan-2020,M,False
Unprovoked,NEW ZEALAND,Broadnose seven gill shark?,minor injury to lower leg,16-Jan-2020,F,False
Unprovoked,USA,White shark,lacerations to foot,13-Jan-2020,M,False
Unprovoked,THAILAND,White shark,calf bitten,12-Jan-2020,M,False
Unprovoked,AUSTRALIA,Lemon shark,lacerations to leg,07-Jan-2020,F,False
Unprovoked,AUSTRALIA,White shark,fatal,05-Jan-2020,M,True
Unprovoked,NEW CALEDONIA,White shark,right leg bitten,03-Jan-2020,M,False
Questionable,AUSTRALIA,White shark,probable drowning and scavenging,02-Jan-2020,M,False
Unprovoked,AUSTRALIA,"Shovelnose ""shark"" which is a ray, not a shark)",minor injury to hand,30-Dec-2019,M,False
Unprovoked,SEYCHELLES,White shark,arm bitten,28-Dec-2019,F,False
Unprovoked,PAPUA NEW GUINEA,White shark,fatal,26-Dec-2019,M,True
Unprovoked,SOUTH AFRICA,White shark,"no injury, shark bit surf ski",26-Dec-2019,M,False
Unprovoked,NEW ZEALAND,White shark,laceration to thigh,24-Dec-2019,F,False
Unprovoked,USA,White shark,right leg bitten,21-Dec-2019,M,False
Questionable,REUNION ISLAND,3.4 m tiger shark,partial remains recovered 12/26/2019 from shark,12-Dec-2019,M,False
Unprovoked,AUSTRALIA,White shark,arm bitten,06-Dec-2019,M,False
Unprovoked,CUBA,White shark,fatal,04-Dec-2019,M,True
Unprovoked,USA,10'-12' tiger shark,"no injury, inflatable paddle board was bitten by the shark",03-Dec-2019,M,False
Unprovoked,USA,Juvenile blacktip shark,"no injury, knocked from his board by the shark",30-Nov-2019,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to foot,30-Nov-2019,M,False
Questionable,AUSTRALIA,White shark,"believed to have drowned. partial remains washed ashore at north beach, mylestom, new south wales on 17 december. shark involvement prior to death could not be confirmed",23-Nov-2019,M,False
Provoked,MEXICO,White shark,lacerations to arm from hooked shark provoked incident,23-Nov-2019,M,False
Unprovoked,ISRAEL,White shark,"no injury, swim fin bitten",22-Nov-2019,M,False
Provoked,FRENCH POLYNESIA,5' blacktip shark,multiple lacerations to right arm,14-Nov-2019,M,False
Unprovoked,USA,4' to 5' blacktip shark,lacerations to left foot,12-Nov-2019,M,False
Unprovoked,MEXICO,White shark,bite to right forearm,11-Nov-2019,M,False
Watercraft,SOUTH AFRICA,"White shark, 4 m","no injury, kayak damaged",09-Nov-2019,M,False
Unprovoked,USA,Juvenile white shark?,"no inury, knocked from board",06-Nov-2019,F,False
Questionable,REUNION ISLAND,10' tiger shark,hand recovered from shark. later confirmed death most likely due to drowning,02-Nov-2019,M,False
